学号	姓名	性别	专业	班级	高等数学	大学物理	程序设计	数据结构	线性代数	离散数学
2024400001	戴婷婷	女	计算机科学与技术	计算机科学与技术1班	77.4	71.9	92.4	72.4	62.6	91.7
2024400002	孙雪	男	计算机科学与技术	计算机科学与技术1班	73.6	80.1	70.4	96.4	87.3	62.6
2024400003	李建华	女	计算机科学与技术	计算机科学与技术1班	72.6	68.2	82.6	73.5	81.1	79.3
2024400004	王晶	女	计算机科学与技术	计算机科学与技术1班	82.1	81.5	67.4	61.8	76.7	68.5
2024400005	解小红	男	计算机科学与技术	计算机科学与技术1班	74.8	72.4	90.4	85.1	78.4	73.6
2024400006	陈飞	男	计算机科学与技术	计算机科学与技术1班	86.3	75.4	71.7	62.8	74.1	72.8
2024400007	薛丹	女	计算机科学与技术	计算机科学与技术1班	83.8	73.4	81.9	66.2	87	72.6
2024400008	王辉	女	计算机科学与技术	计算机科学与技术1班	83.7	71.6	83.6	64.8	70.9	66.6
2024400009	刘峰	女	计算机科学与技术	计算机科学与技术1班	85.6	61.7	77.6	65.1	86.6	73.3
2024400010	李荣	女	计算机科学与技术	计算机科学与技术1班	70.5	61.3	84.6	91	78.1	65.9
2024400011	刘雪	女	计算机科学与技术	计算机科学与技术1班	80	67.3	90	88.2	77.2	65.2
2024400012	罗莹	女	计算机科学与技术	计算机科学与技术1班	84	75.1	64.3	85.5	78.3	91.6
2024400013	张桂荣	男	计算机科学与技术	计算机科学与技术1班	74.1	62.3	72.6	72.7	73.2	70.2
2024400014	李东	男	计算机科学与技术	计算机科学与技术1班	95.1	72	89.7	74	83.7	78.4
2024400015	胡红	女	计算机科学与技术	计算机科学与技术1班	80.9	87.7	84.6	81.4	85.7	66
2024400016	黎柳	女	计算机科学与技术	计算机科学与技术1班	66.6	82.7	64.4	73.4	78.2	78.3
2024400017	赵莹	女	计算机科学与技术	计算机科学与技术1班	74.3	91.7	74.5	82.9	81.8	82.9
2024400018	牟岩	女	计算机科学与技术	计算机科学与技术1班	69.5	69.4	81.9	69.4	61.6	82.5
2024400019	刘冬梅	女	计算机科学与技术	计算机科学与技术1班	77.1	78.4	69.5	80.3	76.6	77
2024400020	罗洁	女	计算机科学与技术	计算机科学与技术1班	80.5	65.9	86.9	62.5	99.6	79.2
2024400021	王丹	女	计算机科学与技术	计算机科学与技术1班	71.4	69.2	70.8	70	84	82.7
2024400022	刘鑫	女	计算机科学与技术	计算机科学与技术1班	84.4	63.3	84.4	68.7	62.6	62.7
2024400023	孔博	女	计算机科学与技术	计算机科学与技术1班	66.8	72.5	88	74	82.7	74.2
2024400024	周波	女	计算机科学与技术	计算机科学与技术1班	67.1	73.2	65.8	80.1	77.1	68.2
2024400025	邓雪	女	计算机科学与技术	计算机科学与技术1班	83.2	77.5	71.5	76.1	62.1	72.9
2024400026	罗健	男	计算机科学与技术	计算机科学与技术1班	70	80.5	70	74.8	77.5	67.9
